date,open,high,low,close,volume
2026-04-15,2140.9,2168.0,2140.9,2157.6,1552971.0
2026-04-16,2158.0,2163.7,2129.1,2139.1,1845734.0
2026-04-17,2142.0,2245.0,2133.0,2240.8,4882697.0
2026-04-20,2240.8,2253.4,2223.2,2231.5,1460822.0
2026-04-21,2238.7,2335.7,2227.2,2310.7,3217281.0
2026-04-22,2310.4,2408.0,2310.4,2368.8,5558325.0
2026-04-23,2336.0,2400.0,2336.0,2366.4,2063531.0
2026-04-24,2388.6,2388.6,2299.0,2327.3,1676706.0
2026-04-27,2334.9,2362.8,2325.0,2328.3,1099681.0
2026-04-28,2321.0,2334.4,2281.1,2289.5,1629120.0
2026-04-29,2305.0,2349.7,2291.0,2314.4,1778765.0
2026-04-30,2312.0,2368.8,2211.6,2250.9,4434979.0
2026-05-04,2268.8,2365.8,2268.8,2309.3,2554255.0
2026-05-05,2301.5,2335.4,2288.1,2327.4,1741424.0
2026-05-06,2330.0,2339.4,2288.3,2317.1,1196175.0
